num_of_player,num_of_decks,dealer_card,dealer_value,dealer_bust,init_hand,hit,result,outcome
2,3,6,20,0,15,0,-1.0,1
2,3,K,26,1,13,0,1.0,0
2,3,5,22,1,12,0,1.0,0
2,3,6,23,1,20,0,1.0,0
2,3,K,20,0,17,0,-1.0,1
2,3,8,26,1,19,0,1.0,0
2,3,3,22,1,11,0,1.0,0
2,3,3,19,0,19,0,0.0,0
2,3,10,18,0,14,0,-1.0,1
2,3,7,17,0,14,0,-1.0,1
2,3,J,18,0,19,0,1.0,0
2,3,6,23,1,19,0,1.0,0
2,3,3,17,0,20,0,1.0,0
2,3,A,22,1,17,0,1.0,0
2,3,6,20,0,20,0,0.0,0
2,3,8,19,0,10,1,1.0,1
2,3,6,18,0,13,0,-1.0,1
2,3,3,21,0,14,0,-1.0,1
2,3,Q,21,0,21,0,0.0,0
2,3,Q,21,0,12,0,-1.0,1
2,3,4,20,0,14,0,-1.0,1
2,3,3,26,1,4,1,1.0,1
2,3,4,22,1,17,0,1.0,0
2,3,K,20,0,18,0,-1.0,1
2,3,8,18,0,17,0,-1.0,1
2,3,6,17,0,20,0,1.0,0
2,3,9,26,1,14,0,1.0,0
2,3,A,20,0,20,0,0.0,0
2,3,9,20,0,15,0,-1.0,1
2,3,2,21,0,16,0,-1.0,1
2,3,3,19,0,18,0,-1.0,1
2,3,J,17,0,16,0,-1.0,1
2,3,Q,18,0,16,0,-1.0,1
2,3,9,17,0,19,0,1.0,0
2,3,10,21,0,17,0,-1.0,1
2,3,4,19,0,12,0,-1.0,1
2,3,Q,17,0,10,0,-1.0,1
2,3,2,22,1,8,1,1.0,1
2,3,5,17,0,20,0,1.0,0
2,3,A,25,1,20,0,1.0,0
2,3,8,24,1,15,0,1.0,0
2,3,6,24,1,12,0,1.0,0
2,3,K,19,0,17,0,-1.0,1
2,3,9,19,0,15,0,-1.0,1
2,3,6,25,1,5,0,1.0,0
2,3,5,24,1,13,0,1.0,0
2,3,J,19,0,13,0,-1.0,1
2,3,5,24,1,15,0,1.0,0
2,3,K,21,0,14,0,-1.0,1
2,3,K,20,0,11,0,-1.0,1
2,3,7,18,0,18,0,0.0,0
2,3,Q,20,0,16,0,-1.0,1
2,3,Q,19,0,6,1,-1.0,0
2,3,4,24,1,17,0,1.0,0
2,3,10,19,0,15,0,-1.0,1
2,3,6,18,0,12,0,-1.0,1
2,3,8,18,0,14,0,-1.0,1
2,3,6,19,0,21,0,1.0,0
2,3,8,20,0,21,0,1.0,0
