num_of_player,num_of_decks,dealer_card,dealer_value,dealer_bust,init_hand,hit,result,outcome
1,2,6,23,1,19,0,1.0,0
1,2,8,19,0,12,0,-1.0,1
1,2,5,25,1,18,0,1.0,0
1,2,4,20,0,13,0,-1.0,1
1,2,A,21,0,9,0,-1.0,1
1,2,A,19,0,11,1,1.0,1
1,2,8,21,0,4,1,-1.0,0
1,2,K,20,0,16,0,-1.0,1
1,2,6,23,1,12,0,1.0,0
1,2,A,21,0,11,0,-1.0,1
1,2,A,21,0,13,0,-1.0,1
1,2,4,20,0,19,0,-1.0,1
1,2,9,19,0,13,0,-1.0,1
1,2,5,17,0,13,0,-1.0,1
1,2,6,23,1,13,0,1.0,0
1,2,10,20,0,14,0,-1.0,1
1,2,4,24,1,12,0,1.0,0
1,2,A,23,1,21,0,1.0,0
1,2,9,24,1,12,0,1.0,0
1,2,A,19,0,17,0,-1.0,1
1,2,10,20,0,14,0,-1.0,1
1,2,6,21,0,7,1,-1.0,0
1,2,10,20,0,17,0,-1.0,1
1,2,8,18,0,12,0,-1.0,1
1,2,7,17,0,18,0,1.0,0
1,2,A,18,0,6,1,-1.0,0
1,2,K,22,1,15,0,1.0,0
1,2,7,18,0,11,0,-1.0,1
1,2,9,24,1,14,0,1.0,0
1,2,6,24,1,19,0,1.0,0
1,2,9,20,0,17,0,-1.0,1
1,2,9,18,0,19,0,1.0,0
1,2,2,22,1,16,0,1.0,0
1,2,2,20,0,13,0,-1.0,1
1,2,K,17,0,13,0,-1.0,1
1,2,6,23,1,8,0,1.0,0
1,2,K,19,0,11,1,-1.0,0
1,2,7,17,0,19,0,1.0,0
1,2,9,17,0,11,1,0.0,1
1,2,8,24,1,12,0,1.0,0
1,2,J,20,0,14,0,-1.0,1
1,2,4,17,0,9,0,-1.0,1
1,2,K,18,0,15,0,-1.0,1
1,2,J,20,0,16,0,-1.0,1
1,2,Q,17,0,13,0,-1.0,1
1,2,7,23,1,13,0,1.0,0
1,2,J,18,0,13,0,-1.0,1
1,2,A,21,0,11,1,0.0,1
1,2,Q,20,0,21,0,1.0,0
1,2,5,24,1,14,0,1.0,0
1,2,4,24,1,17,0,1.0,0
1,2,8,20,0,17,0,-1.0,1
1,2,J,20,0,12,0,-1.0,1
1,2,2,22,1,15,0,1.0,0
1,2,A,17,0,14,0,-1.0,1
1,2,7,17,0,8,1,-1.0,0
1,2,10,20,0,9,0,-1.0,1
1,2,Q,20,0,18,0,-1.0,1
1,2,10,17,0,21,0,1.0,0
1,2,8,18,0,20,0,1.0,0
1,2,J,19,0,21,0,1.0,0
1,2,8,17,0,14,0,-1.0,1
1,2,6,17,0,18,0,1.0,0
1,2,K,21,0,7,0,-1.0,1
1,2,Q,19,0,10,0,-1.0,1
1,2,5,20,0,14,0,-1.0,1
1,2,J,22,1,14,0,1.0,0
1,2,9,19,0,13,0,-1.0,1
1,2,4,19,0,14,0,-1.0,1
1,2,4,18,0,18,0,0.0,0
1,2,2,22,1,18,0,1.0,0
1,2,J,19,0,12,0,-1.0,1
1,2,A,21,0,14,0,-1.0,1
1,2,2,18,0,10,1,-1.0,0
1,2,2,22,1,18,0,1.0,0
1,2,Q,17,0,19,0,1.0,0
1,2,A,18,0,13,0,-1.0,1
1,2,4,19,0,15,0,-1.0,1
1,2,8,18,0,6,1,-1.0,0
1,2,Q,21,0,13,0,-1.0,1
1,2,K,19,0,16,0,-1.0,1
1,2,6,17,0,16,0,-1.0,1
1,2,6,20,0,17,0,-1.0,1
1,2,K,17,0,19,0,1.0,0
1,2,7,21,0,14,0,-1.0,1
1,2,Q,20,0,16,0,-1.0,1
1,2,Q,19,0,8,0,-1.0,1
1,2,4,17,0,10,1,1.0,1
1,2,Q,18,0,11,0,-1.0,1
1,2,K,21,0,16,0,-1.0,1
1,2,5,20,0,12,0,-1.0,1
1,2,8,19,0,12,0,-1.0,1
1,2,J,17,0,13,0,-1.0,1
1,2,7,23,1,13,0,1.0,0
1,2,3,20,0,13,0,-1.0,1
1,2,Q,19,0,16,0,-1.0,1
1,2,K,20,0,20,0,0.0,0
1,2,4,24,1,12,0,1.0,0
1,2,9,24,1,21,0,1.0,0
1,2,Q,23,1,12,0,1.0,0
1,2,10,23,1,10,0,1.0,0
1,2,A,18,0,12,0,-1.0,1
1,2,10,17,0,15,0,-1.0,1
1,2,K,24,1,13,0,1.0,0
1,2,K,22,1,9,1,1.0,1
