,dealer_card,dealer_value,dealer_bust,init_hand,hit,result,outcome
237,K,21,0,16,0,-1.0,1
238,6,22,1,21,0,1.0,0
239,2,21,0,5,0,-1.0,1
240,8,18,0,15,0,-1.0,1
241,8,18,0,18,0,0.0,0
242,J,18,0,13,0,-1.0,1
243,3,17,0,12,0,-1.0,1
244,A,20,0,7,0,-1.0,1
245,J,20,0,9,0,-1.0,1
246,A,24,1,19,0,1.0,0
247,6,19,0,20,0,1.0,0
248,5,22,1,15,0,1.0,0
249,7,17,0,17,0,0.0,0
250,K,19,0,15,0,-1.0,1
251,A,21,0,12,0,-1.0,1
252,Q,25,1,8,1,1.0,1
253,4,24,1,6,0,1.0,0
254,7,19,0,8,0,-1.0,1
255,10,21,0,16,0,-1.0,1
256,10,17,0,18,0,1.0,0
257,6,26,1,21,0,1.0,0
258,3,22,1,7,0,1.0,0
259,K,19,0,15,0,-1.0,1
260,4,17,0,15,0,-1.0,1
261,9,18,0,13,0,-1.0,1
262,5,21,0,12,0,-1.0,1
263,3,20,0,18,0,-1.0,1
264,9,23,1,20,0,1.0,0
265,8,18,0,16,0,-1.0,1
266,3,23,1,14,0,1.0,0
267,10,23,1,12,0,1.0,0
268,8,18,0,13,0,-1.0,1
269,9,19,0,18,0,-1.0,1
270,9,19,0,17,0,-1.0,1
271,J,23,1,16,0,1.0,0
272,Q,18,0,9,0,-1.0,1
273,8,20,0,17,0,-1.0,1
274,A,21,0,13,0,-1.0,1
275,4,19,0,16,0,-1.0,1
276,10,20,0,16,0,-1.0,1
277,2,19,0,11,0,-1.0,1
278,7,26,1,18,0,1.0,0
279,5,18,0,19,0,1.0,0
280,5,25,1,13,0,1.0,0
281,5,21,0,17,0,-1.0,1
282,A,22,1,14,0,1.0,0
283,Q,23,1,14,0,1.0,0
284,3,19,0,17,0,-1.0,1
285,A,19,0,12,0,-1.0,1
286,J,20,0,9,1,-1.0,0
287,K,21,0,13,0,-1.0,1
288,2,20,0,8,0,-1.0,1
289,K,24,1,20,0,1.0,0
290,9,18,0,21,0,1.0,0
291,7,19,0,14,0,-1.0,1
292,Q,22,1,16,0,1.0,0
293,J,22,1,14,0,1.0,0
294,2,20,0,8,1,-1.0,0
295,5,20,0,12,0,-1.0,1
296,2,26,1,18,0,1.0,0
297,4,24,1,19,0,1.0,0
298,4,23,1,17,0,1.0,0
299,6,23,1,11,0,1.0,0
300,8,18,0,20,0,1.0,0
301,3,23,1,14,0,1.0,0
302,7,18,0,18,0,0.0,0
303,10,20,0,18,0,-1.0,1
304,3,24,1,15,0,1.0,0
305,7,17,0,12,0,-1.0,1
306,6,25,1,14,0,1.0,0
307,9,19,0,18,0,-1.0,1
308,4,18,0,19,0,1.0,0
309,10,20,0,12,0,-1.0,1
310,2,20,0,14,0,-1.0,1
311,A,21,0,7,1,-1.0,0
312,Q,17,0,15,0,-1.0,1
313,3,17,0,21,0,1.0,0
314,Q,25,1,12,0,1.0,0
315,10,18,0,15,0,-1.0,1
316,9,18,0,12,0,-1.0,1
317,3,20,0,16,0,-1.0,1
318,J,26,1,19,0,1.0,0
319,A,18,0,15,0,-1.0,1
320,3,17,0,14,0,-1.0,1
321,3,23,1,8,1,1.0,1
322,A,17,0,13,0,-1.0,1
323,K,19,0,19,0,0.0,0
324,4,23,1,17,0,1.0,0
325,A,21,0,14,0,-1.0,1
326,6,18,0,13,0,-1.0,1
327,Q,20,0,14,0,-1.0,1
328,9,21,0,18,0,-1.0,1
329,7,25,1,19,0,1.0,0
330,4,19,0,16,0,-1.0,1
331,Q,20,0,9,0,-1.0,1
332,10,20,0,11,1,-1.0,0
333,6,17,0,6,1,-1.0,0
334,K,18,0,8,1,-1.0,0
335,A,21,0,15,0,-1.0,1
336,K,20,0,15,0,-1.0,1
337,J,20,0,13,0,-1.0,1
338,A,19,0,9,1,-1.0,0
339,7,21,0,17,0,-1.0,1
340,Q,20,0,8,1,-1.0,0
341,7,17,0,18,0,1.0,0
342,3,18,0,18,0,0.0,0
343,A,21,0,12,0,-1.0,1
344,6,17,0,21,0,1.0,0
345,9,19,0,15,0,-1.0,1
346,6,18,0,15,0,-1.0,1
347,7,18,0,9,0,-1.0,1
348,6,23,1,20,0,1.0,0
349,J,17,0,5,0,-1.0,1
350,J,18,0,13,0,-1.0,1
351,10,20,0,17,0,-1.0,1
352,2,18,0,21,0,1.0,0
353,7,17,0,15,0,-1.0,1
354,6,24,1,17,0,1.0,0
355,4,20,0,20,0,0.0,0
356,3,23,1,14,0,1.0,0
357,7,17,0,20,0,1.0,0
358,Q,18,0,12,0,-1.0,1
359,9,23,1,16,0,1.0,0
360,A,21,0,19,0,-1.0,1
361,J,22,1,13,0,1.0,0
362,Q,20,0,7,0,-1.0,1
363,6,17,0,14,0,-1.0,1
364,J,20,0,14,0,-1.0,1
365,2,19,0,11,0,-1.0,1
366,7,26,1,10,0,1.0,0
367,Q,17,0,15,0,-1.0,1
368,8,18,0,14,0,-1.0,1
369,6,21,0,16,0,-1.0,1
370,K,20,0,21,0,1.0,0
371,Q,21,0,20,0,-1.0,1
372,6,17,0,15,0,-1.0,1
373,8,19,0,15,0,-1.0,1
374,8,18,0,18,0,0.0,0
375,4,25,1,14,0,1.0,0
376,6,19,0,13,0,-1.0,1
377,A,21,0,20,0,-1.0,1
378,6,17,0,17,0,0.0,0
379,A,23,1,13,0,1.0,0
380,Q,20,0,7,0,-1.0,1
381,K,20,0,20,0,0.0,0
382,3,18,0,19,0,1.0,0
383,9,18,0,12,0,-1.0,1
384,A,18,0,12,0,-1.0,1
385,5,22,1,16,0,1.0,0
386,3,19,0,14,0,-1.0,1
387,2,17,0,13,0,-1.0,1
388,10,20,0,16,0,-1.0,1
389,10,24,1,18,0,1.0,0
390,8,24,1,20,0,1.0,0
391,J,21,0,14,0,-1.0,1
392,8,21,0,16,0,-1.0,1
393,5,18,0,11,0,-1.0,1
394,A,18,0,20,0,1.0,0
395,8,17,0,9,0,-1.0,1
396,10,19,0,16,0,-1.0,1
397,8,20,0,13,0,-1.0,1
398,J,21,0,20,0,-1.0,1
399,10,22,1,21,0,1.0,0
400,3,20,0,20,0,0.0,0
401,3,17,0,10,0,-1.0,1
402,5,24,1,16,0,1.0,0
403,10,19,0,15,0,-1.0,1
404,A,24,1,14,0,1.0,0
405,8,18,0,10,0,-1.0,1
406,10,19,0,18,0,-1.0,1
407,8,17,0,12,0,-1.0,1
408,4,26,1,16,0,1.0,0
409,4,20,0,15,0,-1.0,1
410,3,21,0,6,0,-1.0,1
411,2,23,1,14,0,1.0,0
412,5,25,1,10,1,1.0,1
413,10,17,0,20,0,1.0,0
414,Q,20,0,15,0,-1.0,1
415,3,21,0,18,0,-1.0,1
416,8,20,0,15,0,-1.0,1
417,9,19,0,11,0,-1.0,1
418,9,19,0,9,1,-1.0,0
419,6,22,1,16,0,1.0,0
420,J,23,1,13,0,1.0,0
421,4,25,1,13,0,1.0,0
422,7,17,0,12,0,-1.0,1
423,A,24,1,21,0,1.0,0
424,9,19,0,15,0,-1.0,1
425,7,17,0,19,0,1.0,0
426,8,20,0,17,0,-1.0,1
427,9,20,0,15,0,-1.0,1
428,Q,17,0,13,0,-1.0,1
429,K,26,1,19,0,1.0,0
430,K,26,1,14,0,1.0,0
431,4,18,0,14,0,-1.0,1
432,9,19,0,11,1,1.0,1
433,5,23,1,16,0,1.0,0
434,7,20,0,16,0,-1.0,1
435,10,18,0,20,0,1.0,0
436,A,17,0,16,0,-1.0,1
437,10,20,0,20,0,0.0,0
438,9,19,0,20,0,1.0,0
439,6,24,1,14,0,1.0,0
440,2,17,0,12,0,-1.0,1
441,8,21,0,14,0,-1.0,1
442,3,22,1,20,0,1.0,0
443,3,22,1,17,0,1.0,0
444,2,24,1,11,0,1.0,0
445,5,21,0,9,0,-1.0,1
446,K,20,0,14,0,-1.0,1
447,4,22,1,17,0,1.0,0
448,J,20,0,18,0,-1.0,1
449,3,21,0,14,0,-1.0,1
450,A,21,0,14,0,-1.0,1
451,Q,20,0,13,0,-1.0,1
452,8,18,0,19,0,1.0,0
453,2,20,0,19,0,-1.0,1
454,10,19,0,16,0,-1.0,1
455,6,18,0,21,0,1.0,0
456,10,23,1,16,0,1.0,0
457,9,26,1,16,0,1.0,0
458,K,23,1,10,1,1.0,1
459,3,26,1,20,0,1.0,0
460,J,20,0,12,0,-1.0,1
461,A,21,0,7,0,-1.0,1
462,4,22,1,17,0,1.0,0
463,8,24,1,17,0,1.0,0
464,A,20,0,10,1,-1.0,0
465,8,19,0,6,0,-1.0,1
466,A,21,0,18,0,-1.0,1
467,9,19,0,15,0,-1.0,1
468,10,18,0,19,0,1.0,0
469,Q,19,0,19,0,0.0,0
470,J,20,0,11,0,-1.0,1
471,2,24,1,7,1,1.0,1
472,8,18,0,20,0,1.0,0
473,Q,26,1,16,0,1.0,0
474,A,19,0,16,0,-1.0,1
475,Q,19,0,21,0,1.0,0
476,10,23,1,20,0,1.0,0
477,5,23,1,11,1,1.0,1
478,6,24,1,13,0,1.0,0
479,9,19,0,19,0,0.0,0
480,3,17,0,9,1,-1.0,0
481,6,22,1,18,0,1.0,0
482,J,20,0,14,0,-1.0,1
483,2,17,0,20,0,1.0,0
484,6,26,1,15,0,1.0,0
485,9,24,1,11,1,1.0,1
486,A,18,0,5,1,-1.0,0
487,4,26,1,19,0,1.0,0
488,K,19,0,14,0,-1.0,1
489,8,17,0,11,1,1.0,1
490,9,20,0,9,0,-1.0,1
491,10,19,0,18,0,-1.0,1
492,7,17,0,13,0,-1.0,1
493,9,24,1,12,0,1.0,0
494,9,19,0,8,1,-1.0,0
495,A,19,0,17,0,-1.0,1
496,5,25,1,5,0,1.0,0
497,3,18,0,20,0,1.0,0
498,8,18,0,16,0,-1.0,1
499,J,17,0,13,0,-1.0,1
500,J,22,1,14,0,1.0,0
501,2,18,0,13,0,-1.0,1
502,4,20,0,12,0,-1.0,1
503,2,20,0,20,0,0.0,0
504,3,18,0,11,1,-1.0,0
505,K,22,1,10,0,1.0,0
506,A,21,0,8,0,-1.0,1
507,9,19,0,11,0,-1.0,1
508,6,17,0,15,0,-1.0,1
509,K,19,0,10,1,1.0,1
510,7,19,0,14,0,-1.0,1
511,3,18,0,12,0,-1.0,1
512,J,21,0,16,0,-1.0,1
513,Q,20,0,14,0,-1.0,1
514,J,20,0,21,0,1.0,0
515,10,18,0,9,0,-1.0,1
516,10,26,1,19,0,1.0,0
517,J,20,0,11,0,-1.0,1
518,8,18,0,12,0,-1.0,1
519,4,24,1,16,0,1.0,0
520,J,20,0,17,0,-1.0,1
521,Q,18,0,16,0,-1.0,1
522,10,22,1,6,0,1.0,0
523,3,23,1,15,0,1.0,0
524,6,17,0,15,0,-1.0,1
525,6,17,0,16,0,-1.0,1
526,4,22,1,19,0,1.0,0
527,K,17,0,15,0,-1.0,1
528,8,21,0,12,0,-1.0,1
529,7,17,0,12,0,-1.0,1
530,K,20,0,5,0,-1.0,1
531,6,18,0,15,0,-1.0,1
532,6,20,0,16,0,-1.0,1
533,3,20,0,19,0,-1.0,1
534,5,17,0,13,0,-1.0,1
535,8,18,0,16,0,-1.0,1
536,6,17,0,14,0,-1.0,1
537,7,25,1,13,0,1.0,0
538,Q,20,0,15,0,-1.0,1
